listing_id,price,referans_fiyat,xgb_predicted,predicted_price,price_gap,etiket,guven,knn_mod,district,neighborhood,gross_sqm,total_rooms,building_age,floor,total_floors,floor_ratio,is_in_complex,knn_mesafe
10557-4021,5600000,9725000.0,6811520.5,8268260.25,-0.32271120759654365,Ucuz / Fırsat,0.47,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,155.0,4,16,4.0,7.0,0.5714285714285714,1,1.2561658842592682
34320-1260,6300000,8172500.0,6759841.0,7466170.5,-0.15619392833313947,Adil fiyat,0.35,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,181.0,3,1,-2.0,15.0,-0.13333333333333333,1,1.535448561396188
164129-77,19200000,17250000.0,19216728.0,18233364.0,0.05301468231534236,Adil fiyat,0.41,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,275.0,5,11,3.0,3.0,1.0,1,1.3985451264558144
75964-2837,8949000,5645000.0,9262678.0,7453839.0,0.2005893875625701,Pahalı,0.1,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,270.0,5,0,0.0,6.0,0.0,0,2.119758357059658
101355-1289,14950000,11875000.0,14561709.0,13218354.5,0.13100310632461853,Adil fiyat,0.59,ilce_ici,Başakşehir,Başakşehir,158.0,5,6,3.0,15.0,0.2,1,0.9772199226595581
32345-11363,10250000,8875000.0,10322509.0,9598754.5,0.06784687534200401,Adil fiyat,0.08,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,180.0,4,25,6.0,20.0,0.3,0,2.17458978902651
92710-1726,6480000,6987500.0,6580548.5,6784024.25,-0.04481473514779963,Adil fiyat,0.41,ilce_ici,Başakşehir,Güvercintepe,115.0,4,15,14.0,14.0,1.0,1,1.4002678498899004
104328-704,4715000,5625000.0,4824502.0,5224751.0,-0.09756464949238729,Adil fiyat,0.44,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,72.0,2,11,15.0,15.0,1.0,1,1.3222348406013813
72595-3077,4500000,5167500.0,4708605.0,4938052.5,-0.08870956718260893,Adil fiyat,0.81,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,120.0,4,0,3.0,6.0,0.5,0,0.45037945818826364
102526-624,6800000,6925000.0,7080821.0,7002910.5,-0.02897516682527929,Adil fiyat,0.46,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,121.0,3,5,18.0,23.0,0.782608695652174,1,1.2721100939784795
166606-10,7500000,12724500.0,7578724.5,10151612.25,-0.2612010964071249,Ucuz / Fırsat,0.0,ilce_ici,Başakşehir,Güvercintepe,220.0,7,7,-3.0,4.0,-0.75,0,3.275528450112584
167331-9,6450000,6657500.0,6245776.0,6451638.0,-0.00025388901237174185,Adil fiyat,0.58,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,95.0,3,6,8.0,12.0,0.6666666666666666,1,0.9865568463379233
146713-155,2250000,3100000.0,2333955.5,2716977.75,-0.17187396915561787,Adil fiyat,0.52,ilce_ici,Başakşehir,Güvercintepe,60.0,2,0,-1.0,4.0,-0.25,0,1.1473824542329685
165086-64,6320000,13000000.0,6871946.5,9935973.25,-0.36392743408402395,Ucuz / Fırsat,0.22,ilce_ici,Başakşehir,Şahintepe,125.0,4,0,2.0,6.0,0.3333333333333333,1,1.848723380534389
144925-358,6000000,6240000.0,6026057.5,6133028.75,-0.021690547268346003,Adil fiyat,0.33,ilce_ici,Başakşehir,Başakşehir,85.0,3,21,9.0,10.0,0.9,1,1.5962504055909248
92710-1741,5350000,5925000.0,5322010.5,5623505.25,-0.0486360797831566,Adil fiyat,0.69,ilce_ici,Başakşehir,Kayabaşı,75.0,3,12,5.0,12.0,0.4166666666666667,1,0.7412048044203118
167448-3,22400000,16400000.0,22186176.0,19293088.0,0.16103756951712447,Adil fiyat,0.49,ilce_ici,Başakşehir,Kayabaşı,207.0,5,4,8.0,16.0,0.5,1,1.2097499021680795
72595-3297,4850000,5442500.0,5101291.5,5271895.75,-0.08002733172407668,Adil fiyat,0.79,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,130.0,4,2,3.0,6.0,0.5,0,0.4962044998845401
35783-15244,19800000,26725000.0,20129088.0,23427044.0,-0.15482294735947053,Adil fiyat,0.0,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,800.0,6,6,-2.0,2.0,-1.0,0,7.337548885281642
75964-2831,2900000,5850000.0,2858766.0,4354383.0,-0.33400438133255617,Ucuz / Fırsat,0.35,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,90.0,2,6,20.0,30.0,0.6666666666666666,1,1.5494906416998986
167331-4,6200000,9387500.0,8065802.5,8726651.25,-0.28953274029370657,Ucuz / Fırsat,0.56,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,165.0,4,6,2.0,10.0,0.2,1,1.0357646888356469
146713-143,4150000,3825000.0,4051081.5,3938040.75,0.053823528870289114,Adil fiyat,0.74,ilce_ici,Başakşehir,Güvercintepe,82.0,3,6,1.0,5.0,0.2,0,0.6116733156578186
102526-638,12950000,12925000.0,12539672.0,12732336.0,0.017095370401786443,Adil fiyat,0.64,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,200.0,4,1,2.0,3.0,0.6666666666666666,1,0.8412470194726792
101355-1296,5875000,7750000.0,6147261.5,6948630.75,-0.15450968523546887,Adil fiyat,0.25,ilce_ici,Başakşehir,Başak,87.0,3,21,2.0,11.0,0.18181818181818182,1,1.767957243843845
165528-21,2650000,2690000.0,2746486.25,2718243.125,-0.025105600147521757,Adil fiyat,0.68,ilce_ici,Başakşehir,Altınşehir,95.0,3,1,-1.0,3.0,-0.3333333333333333,0,0.7473836975160773
167331-2,16500000,12250000.0,15933536.0,14091768.0,0.1708963701360965,Adil fiyat,0.22,ilce_ici,Başakşehir,Ziya Gökalp,185.0,4,6,20.0,30.0,0.6666666666666666,1,1.8430180967654686
146713-126,4250000,4110000.0,4139764.75,4124882.375,0.030332410387823482,Adil fiyat,0.67,ilce_ici,Başakşehir,Güvercintepe,80.0,3,6,1.0,2.0,0.5,0,0.7778496506663115
167448-20,10150000,9425000.0,10982680.0,10203840.0,-0.005276444946216327,Adil fiyat,0.39,ilce_ici,Başakşehir,Kayabaşı,164.0,4,6,2.0,29.0,0.06896551724137931,1,1.452280495164152
101355-1290,5500000,5775000.0,5449959.5,5612479.75,-0.02004100772033966,Adil fiyat,0.45,ilce_ici,Başakşehir,Başakşehir,75.0,2,6,12.0,29.0,0.41379310344827586,1,1.3029607068759081
104328-588,10850000,9825000.0,10591171.0,10208085.5,0.06288294705211864,Adil fiyat,0.41,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,156.0,4,21,6.0,16.0,0.375,1,1.385364475306818
167448-15,24000000,17375000.0,22425832.0,19900416.0,0.2060049397962334,Pahalı,0.4,ilce_ici,Başakşehir,Kayabaşı,225.0,5,6,3.0,5.0,0.6,1,1.4278955955510855
167391-2,12500000,7485000.0,12012843.0,9748921.5,0.2821931123355542,Pahalı,0.45,ilce_ici,Başakşehir,Kayabaşı,154.0,4,6,-1.0,9.0,-0.1111111111111111,1,1.304246216036193
32345-11366,6750000,7900000.0,6864400.5,7382200.25,-0.08563845853409355,Adil fiyat,0.22,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,117.0,3,26,11.0,12.0,0.9166666666666666,1,1.8509556608521927
163301-84,8550000,7217500.0,8169967.0,7693733.5,0.11129401609764622,Adil fiyat,0.61,ilce_ici,Başakşehir,Kayabaşı,118.0,4,11,2.0,12.0,0.16666666666666666,1,0.9146526146326506
149659-182,19750000,14350000.0,19570420.0,16960210.0,0.16449029817437402,Adil fiyat,0.54,ilce_ici,Başakşehir,Başakşehir,210.0,5,6,3.0,6.0,0.5,1,1.0818608563761545
160612-140,11500000,11340000.0,11551801.0,11445900.5,0.004726539427806488,Adil fiyat,0.5,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,130.0,3,6,4.0,6.0,0.6666666666666666,1,1.1843777166513494
148845-28,13500000,9150000.0,13545100.0,11347550.0,0.18968411683579275,Adil fiyat,0.21,ilce_ici,Başakşehir,Ziya Gökalp,150.0,4,5,1.0,5.0,0.2,1,1.8590539255523275
167146-5,17000000,12750000.0,17090376.0,14920188.0,0.13939583066915778,Adil fiyat,0.44,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,180.0,5,16,3.0,4.0,0.75,1,1.3325894900450646
167127-1,12899000,9825000.0,12862188.0,11343594.0,0.13711756609060585,Adil fiyat,0.62,ilce_ici,Başakşehir,Başakşehir,148.0,4,6,2.0,15.0,0.13333333333333333,1,0.8922660044667458
